Feature 1,Feature 2,Label
6.2744026215364155,-0.3833639553950554,C
5.417061602664918,1.6103793791072052,C
5.811140742215971,0.49318364570131246,C
6.403685961549492,0.9474327037304537,C
5.063720194153493,1.1887785967938285,C
7.523891023834206,1.0884220870446615,C
6.689113828301529,1.0974001662687833,C
7.39904634564013,-1.7725927564266502,C
8.955912308250694,1.3900933226879264,C
6.34759141761298,0.6090466248123989,C
7.493741777349189,0.8838960609656334,C
4.969315532218506,3.0644928613593194,C
6.889459342767528,2.0201727117157997,C
6.307950152215609,2.536377054245798,C
7.28634368889228,1.6088438344754508,C
5.954746633853045,2.211145289682701,C
7.689818164534788,2.3018462295649984,C
6.371912440358421,0.5189728815392123,C
9.303916697683942,-0.06001582272154726,C
6.864050299321679,2.1368913626026953,C
7.097724967714855,1.5829536797532935,C
6.600550970737125,1.3700558878475189,C
